id,name,slug,short_description,long_description,primary_image_url,availability,on_sale,ai_notes,categories,additional_images,price,sale_price,quantity_in_stock,tags,use_cases,attributes
1,Vivid Mission Pack,vivid-mission-pack,Compact tactical pack designed for efficient gear organization and rapid deployment.,"The Vivid Mission Pack is engineered for agility and performance in demanding environments. Made from durable materials, it offers modular webbing for attachments, a rugged zip system, and a streamlined profile ideal for missions on the move.",products/vivid-mission-pack-0.png,available,1,Ideal for minimalist loadouts and urban recon missions.,"Featured,Sale,Camping",products/vivid-mission-pack-0.png,7999,6499,50,"EDC,compact,military,tactical","daily carry,field ops,travel","capacity:10L,color:Olive Drab,material:Cordura nylon"
2,Dusty Fire Tool,dusty-fire-tool,Rugged ferro rod fire starter with high-grip handle for dependable sparks.,"The Dusty Fire Tool delivers reliable ignition even in wet and windy conditions. Its ergonomic grip, long-lasting ferrocerium rod, and integrated striker make it an essential tool for survivalists, campers, and adventurers.",products/dusty-fire-tool-1.png,available,1,Perfect for backcountry expeditions and emergency preparedness kits.,"Featured,Sale,Tools","products/dusty-fire-tool-1.png,products/dusty-fire-tool-1a.png,products/dusty-fire-tool-1b.png,products/dusty-fire-tool-1c.png",2499,1999,150,"EDC,firestarter,survival","camping,emergency kits,survival","color:Charcoal Black,length:5 inches,material:ferrocerium & polymer grip"
3,Echo Sky Kit,echo-sky-kit,Compact emergency radio and comms unit with built-in weather alerts.,"The Echo Sky Kit is your lifeline in the wild. With NOAA weather alerts, FM/AM tuning, and a powerful built-in flashlight, it ensures communication and safety during backcountry treks, storms, or power outages. Comes with a rugged carabiner and durable antenna.",products/echo-sky-kit-2.png,available,1,Designed for off-grid communication and storm readiness. Compact and rugged enough to clip onto any pack.,"Featured,Sale,Tools,Navigation",products/echo-sky-kit-2.png,4999,4299,75,"communication,emergency,radio","camping,off-grid living,storm prep","bands:AM/FM/NOAA,battery:Rechargeable lithium-ion,color:Tactical Black"
4,Lunar Signal Pack,lunar-signal-pack,Advanced tactical backpack with comms-ready organization.,"The Lunar Signal Pack is engineered for rapid deployment scenarios and long-range excursions. It includes modular compartments for tech gear, hydration, and communication tools, along with reinforced MOLLE webbing for accessory attachments. Built to endure lunar light or midnight missions.",products/lunar-signal-pack-3.png,available,0,Developed for tactical operators and adventurers alike. Ideal for both urban carry and expedition use.,"Featured,Camping",products/lunar-signal-pack-3.png,7999,NULL,60,"gear,rugged,tactical","field operations,outdoor missions,signal kit storage","capacity:28L,color:Carbon Black,material:Ballistic Nylon"
5,Twin Dune Tool,twin-dune-tool,Compact dual-head survival wrench with tactical wrap.,"Designed for versatility in the harshest conditions, the Twin Dune Tool combines a dual wrench head with a prying edge and hex slot. Wrapped in durable paracord for added grip and emergency use, it’s ideal for quick field adjustments or breaking free from the unexpected.",products/twin-dune-tool-4.png,available,0,"Perfect for field engineers, survivalists, or minimalist gear kits. Its design is inspired by extreme desert conditions and lunar utility.","Tech,Navigation",products/twin-dune-tool-4.png,3499,NULL,90,"compact,durable,multi-tool","emergency gear,field repair,lightweight carry","grip:Paracord wrapped,length:5.5 in,material:Anodized Steel"
6,Polar Leaf Device,polar-leaf-device,Durable GPS navigation tool for extreme environments.,"The Polar Leaf Device is a rugged GPS navigation system built for zero-visibility terrain and remote operations. With tactile buttons, high-contrast display, and reinforced housing, it’s ideal for search and rescue teams, backcountry explorers, and off-grid adventurers.",products/polar-leaf-device-5.png,available,0,Tailored for survivalists and professionals navigating the wilderness. Cold-resistant with a rubberized shell for enhanced grip in arctic gear.,"Featured,Camping",products/polar-leaf-device-5.png,12999,NULL,60,"gps,navigation,rugged","backcountry navigation,emergency signaling,expedition tracking","battery life:36 hours,input method:Physical buttons,screen:Monochrome LCD,waterproof:IP68"
7,Rapid Wave Kit,rapid-wave-kit,Compact emergency communication and survival pouch.,"The Rapid Wave Kit is a go-anywhere emergency essentials pouch featuring a rugged shell, internal compartments, and a quick-clip carabiner. Designed for first response and outdoor readiness, this kit is ideal for organizing quick-access tools, signaling gear, or hydration tablets.",products/rapid-wave-kit-6.png,available,0,"Compact and versatile, the Rapid Wave Kit serves as a mobile command pouch for outdoor responders, campers, or utility belt configurations.","Featured,Apparel",products/rapid-wave-kit-6.png,4499,NULL,80,"compact,emergency kit,tactical","first aid storage,go-bag supplement,outdoor readiness","attachment:Carabiner clip and MOLLE straps,dimensions:6x4x2 inches,material:Heavy-duty canvas,weight:0.4 lbs"
8,Eagle Shadow Tool,eagle-shadow-tool,A rugged multitool with a tactical blade and integrated clip.,"The Eagle Shadow Tool is engineered for stealth and function. Designed with a reinforced tanto-style blade, integrated bottle opener, and a carabiner clip for easy carry, this is the tool for adventurers, rescue operators, or EDC enthusiasts needing quick utility access in the field.",products/eagle-shadow-tool-7.png,available,0,Features a tanto blade for piercing strength and tactical design. Built-in carabiner enables easy access on bags or belts. Reliable for EDC or field utility.,"Tools,Tech",products/eagle-shadow-tool-7.png,5999,NULL,120,"edc,multitool,tactical","emergency access,everyday carry,survival situations","blade_style:Tanto,features:Carabiner clip, bottle opener,length_closed:4.3 inches,material:High-carbon stainless steel,weight:0.3 lbs"
9,Storm Orbit Device,storm-orbit-device,"A compact, wearable tactical flashlight with high-intensity output.","The Storm Orbit Device is a rugged, wrist-mounted flashlight engineered for hands-free illumination in tactical and emergency scenarios. Featuring an ultra-bright LED core, water-resistant housing, and durable strap, it’s perfect for night operations, search and rescue, or utility work.",products/storm-orbit-device-8.png,available,0,"Compact wrist-mounted tactical light. Bright LED for high visibility. Ideal for emergency services, outdoor survival, or night patrol.","Camping,Outdoor Utility",products/storm-orbit-device-8.png,4499,NULL,140,"flashlight,tactical,wearable","emergency visibility,hands-free illumination,tactical operations","battery_life:12 hours,light_output:350 lumens,mount_type:adjustable strap,water_resistant:IP65,weight:0.2 lbs"
10,Coastal Track Pack,coastal-track-pack,A durable roll-top backpack designed for rugged coastal adventures.,"The Coastal Track Pack combines tactical durability with modern utility. Its roll-top closure ensures protection from the elements, while the large capacity, side mesh pockets, and front MOLLE webbing provide versatile storage for outdoor gear, hydration, and quick-access tools.",products/coastal-track-pack-9.png,available,0,"Roll-top tactical backpack with MOLLE system. Suited for coastal hikes, tactical expeditions, and gear transport in wet conditions.",Featured,products/coastal-track-pack-9.png,7499,NULL,110,"backpack,roll-top,tactical","coastal hiking,multi-day carry,weatherproof storage","capacity:35L,closure:roll-top with buckle,material:water-resistant nylon,molle_webbing:yes,weight:2.1 lbs"
